variable,x,y
wc2.0_bio_2.5m_5,-12.38759984970092,2.7026020688936114E-5
wc2.0_bio_2.5m_5,-12.264345449829094,2.7026020688936114E-5
wc2.0_bio_2.5m_5,-12.141091049957266,2.7026020688936114E-5
wc2.0_bio_2.5m_5,-12.01783665008544,2.7026020688936114E-5
wc2.0_bio_2.5m_5,-11.894582250213615,2.7026020688936114E-5
wc2.0_bio_2.5m_5,-11.77132785034179,2.7026020688936114E-5
wc2.0_bio_2.5m_5,-11.648073450469962,2.7026020688936114E-5
wc2.0_bio_2.5m_5,-11.524819050598136,2.7026020688936114E-5
wc2.0_bio_2.5m_5,-11.40156465072631,2.7026020688936114E-5
wc2.0_bio_2.5m_5,-11.278310250854485,2.7026020688936114E-5
wc2.0_bio_2.5m_5,-11.15505585098266,2.7026020688936114E-5
wc2.0_bio_2.5m_5,-11.031801451110832,2.7026020688936114E-5
wc2.0_bio_2.5m_5,-10.908547051239006,2.7026020688936114E-5
wc2.0_bio_2.5m_5,-10.78529265136718,2.7026020688936114E-5
wc2.0_bio_2.5m_5,-10.662038251495353,2.7026020688936114E-5
wc2.0_bio_2.5m_5,-10.538783851623528,2.7026020688936114E-5
wc2.0_bio_2.5m_5,-10.415529451751702,2.7026020688936114E-5
wc2.0_bio_2.5m_5,-10.292275051879876,2.7026020688936114E-5
wc2.0_bio_2.5m_5,-10.16902065200805,2.7026020688936114E-5
wc2.0_bio_2.5m_5,-10.045766252136223,2.7026020688936114E-5
wc2.0_bio_2.5m_5,-9.922511852264398,2.7026020688936114E-5
wc2.0_bio_2.5m_5,-9.79925745239257,2.7026020688936114E-5
wc2.0_bio_2.5m_5,-9.676003052520745,2.7026020688936114E-5
wc2.0_bio_2.5m_5,-9.55274865264892,2.7026020688936114E-5
wc2.0_bio_2.5m_5,-9.429494252777094,2.7026020688936114E-5
wc2.0_bio_2.5m_5,-9.306239852905268,2.7026020688936114E-5
wc2.0_bio_2.5m_5,-9.18298545303344,2.7026020688936114E-5
wc2.0_bio_2.5m_5,-9.059731053161615,2.7026020688936114E-5
wc2.0_bio_2.5m_5,-8.93647665328979,2.7026020688936114E-5
wc2.0_bio_2.5m_5,-8.813222253417962,2.7026020688936114E-5
wc2.0_bio_2.5m_5,-8.689967853546136,2.7026020688936114E-5
wc2.0_bio_2.5m_5,-8.56671345367431,2.7026020688936114E-5
wc2.0_bio_2.5m_5,-8.443459053802485,2.7026020688936114E-5
wc2.0_bio_2.5m_5,-8.32020465393066,2.7026020688936114E-5
wc2.0_bio_2.5m_5,-8.196950254058834,2.7026020688936114E-5
wc2.0_bio_2.5m_5,-8.073695854187008,2.7026020688936114E-5
wc2.0_bio_2.5m_5,-7.950441454315181,2.7026020688936114E-5
wc2.0_bio_2.5m_5,-7.827187054443354,2.7026020688936114E-5
wc2.0_bio_2.5m_5,-7.7039326545715285,2.7026020688936114E-5
wc2.0_bio_2.5m_5,-7.580678254699703,2.7026020688936114E-5
wc2.0_bio_2.5m_5,-7.457423854827876,2.7026020688936114E-5
wc2.0_bio_2.5m_5,-7.334169454956049,2.7026020688936114E-5
wc2.0_bio_2.5m_5,-7.210915055084223,2.75201764452504E-5
wc2.0_bio_2.5m_5,-7.087660655212398,2.9056462153675966E-5
wc2.0_bio_2.5m_5,-6.964406255340571,3.067683064728044E-5
wc2.0_bio_2.5m_5,-6.841151855468745,3.238580029574223E-5
wc2.0_bio_2.5m_5,-6.717897455596919,3.418809501454234E-5
wc2.0_bio_2.5m_5,-6.5946430557250935,3.608871338656172E-5
wc2.0_bio_2.5m_5,-6.471388655853267,3.809291229117662E-5
wc2.0_bio_2.5m_5,-6.34813425598144,4.020622145617381E-5
wc2.0_bio_2.5m_5,-6.224879856109615,4.2434443457750604E-5
wc2.0_bio_2.5m_5,-6.101625456237789,4.478370101423934E-5
wc2.0_bio_2.5m_5,-5.978371056365963,4.726043698610738E-5
wc2.0_bio_2.5m_5,-5.855116656494136,4.98714143759571E-5
wc2.0_bio_2.5m_5,-5.7318622566223105,5.262377453618683E-5
wc2.0_bio_2.5m_5,-5.608607856750485,5.5524982599308714E-5
wc2.0_bio_2.5m_5,-5.485353456878658,5.8582932979334146E-5
wc2.0_bio_2.5m_5,-5.362099057006832,6.180591299198568E-5
wc2.0_bio_2.5m_5,-5.238844657135006,6.52026355965063E-5
wc2.0_bio_2.5m_5,-5.115590257263181,6.87822830514051E-5
wc2.0_bio_2.5m_5,-4.992335857391354,7.255447417264804E-5
wc2.0_bio_2.5m_5,-4.869081457519528,7.652934436919168E-5
wc2.0_bio_2.5m_5,-4.745827057647702,8.071756747085601E-5
wc2.0_bio_2.5m_5,-4.622572657775876,8.513034845236689E-5
wc2.0_bio_2.5m_5,-4.49931825790405,8.977943798527122E-5
wc2.0_bio_2.5m_5,-4.376063858032223,9.467723430134356E-5
wc2.0_bio_2.5m_5,-4.252809458160398,9.98367540887557E-5
wc2.0_bio_2.5m_5,-4.129555058288572,1.052716834237799E-4
wc2.0_bio_2.5m_5,-4.006300658416746,1.1099642142653465E-4
wc2.0_bio_2.5m_5,-3.883046258544919,1.170260293292813E-4
wc2.0_bio_2.5m_5,-3.759791858673095,1.233764342032373E-4
wc2.0_bio_2.5m_5,-3.6365374588012678,1.300642907153815E-4
wc2.0_bio_2.5m_5,-3.513283058929442,1.3710719940718263E-4
wc2.0_bio_2.5m_5,-3.3900286590576147,1.4452352479565889E-4
wc2.0_bio_2.5m_5,-3.266774259185789,1.5233266458380967E-4
wc2.0_bio_2.5m_5,-3.1435198593139635,1.6055494779720902E-4
wc2.0_bio_2.5m_5,-3.020265459442138,1.6921176575124264E-4
wc2.0_bio_2.5m_5,-2.8970110595703105,1.7832554294727743E-4
wc2.0_bio_2.5m_5,-2.7737566596984866,1.8791986803989857E-4
wc2.0_bio_2.5m_5,-2.650502259826659,1.9801953749265522E-4
wc2.0_bio_2.5m_5,-2.5272478599548336,2.0865054102614522E-4
wc2.0_bio_2.5m_5,-2.403993460083006,2.1984022168908268E-4
wc2.0_bio_2.5m_5,-2.280739060211179,2.3161726130638272E-4
wc2.0_bio_2.5m_5,-2.157484660339355,2.4401178234256804E-4
wc2.0_bio_2.5m_5,-2.0342302604675275,2.5705547886900604E-4
wc2.0_bio_2.5m_5,-1.910975860595702,2.7078151470050216E-4
wc2.0_bio_2.5m_5,-1.7877214607238763,2.85224785329774E-4
wc2.0_bio_2.5m_5,-1.6644670608520507,3.0042193247936666E-4
wc2.0_bio_2.5m_5,-1.5412126609802232,3.1641137320548296E-4
wc2.0_bio_2.5m_5,-1.4179582611083976,3.3323350362479687E-4
wc2.0_bio_2.5m_5,-1.2947038612365702,3.509306407067925E-4
wc2.0_bio_2.5m_5,-1.1714494613647464,3.6954725510440767E-4
wc2.0_bio_2.5m_5,-1.048195061492919,3.891300002578646E-4
wc2.0_bio_2.5m_5,-0.9249406616210933,4.097278870176524E-4
wc2.0_bio_2.5m_5,-0.8016862617492677,4.3139225454069674E-4
wc2.0_bio_2.5m_5,-0.6784318618774421,4.541770904324949E-4
wc2.0_bio_2.5m_5,-0.5551774620056147,4.781389143317938E-4
wc2.0_bio_2.5m_5,-0.43192306213378906,5.033371271565557E-4
wc2.0_bio_2.5m_5,-0.30866866226196166,5.298340111039579E-4
wc2.0_bio_2.5m_5,-0.1854142623901378,5.576948751695454E-4
wc2.0_bio_2.5m_5,-0.062159862518310405,5.869882879778743E-4
wc2.0_bio_2.5m_5,0.06109453735351522,6.177861359901726E-4
wc2.0_bio_2.5m_5,0.18434893722534085,6.501638563349843E-4
wc2.0_bio_2.5m_5,0.3076033370971665,6.842004950158298E-4
wc2.0_bio_2.5m_5,0.4308577369689939,7.199789979495108E-4
wc2.0_bio_2.5m_5,0.5541121368408195,7.57586385589093E-4
wc2.0_bio_2.5m_5,0.6773665367126469,7.971138111315668E-4
wc2.0_bio_2.5m_5,0.8006209365844708,8.38656909763813E-4
wc2.0_bio_2.5m_5,0.9238753364562982,8.823159732855856E-4
wc2.0_bio_2.5m_5,1.0471297363281238,9.281960665248334E-4
wc2.0_bio_2.5m_5,1.1703841361999494,9.764074929989874E-4
wc2.0_bio_2.5m_5,1.293638536071775,0.0010270655620843172
wc2.0_bio_2.5m_5,1.4168929359436024,0.0010802914621308446
wc2.0_bio_2.5m_5,1.540147335815428,0.0011362122604623437
wc2.0_bio_2.5m_5,1.6634017356872555,0.0011949605541303754
wc2.0_bio_2.5m_5,1.7866561355590793,0.001256676041521132
wc2.0_bio_2.5m_5,1.9099105354309067,0.0013215047074481845
wc2.0_bio_2.5m_5,2.0331649353027323,0.0013895994052290916
wc2.0_bio_2.5m_5,2.156419335174558,0.0014611204387620091
wc2.0_bio_2.5m_5,2.2796737350463836,0.001536236028186977
wc2.0_bio_2.5m_5,2.402928134918211,0.0016151218442246318
wc2.0_bio_2.5m_5,2.5261825347900366,0.0016979625215753913
wc2.0_bio_2.5m_5,2.649436934661864,0.0017849506111815572
wc2.0_bio_2.5m_5,2.772691334533688,0.0018762885592877865
wc2.0_bio_2.5m_5,2.8959457344055153,0.0019721882417798042
wc2.0_bio_2.5m_5,3.019200134277341,0.002072871197015047
wc2.0_bio_2.5m_5,3.1424545341491665,0.0021785697899758816
wc2.0_bio_2.5m_5,3.265708934020992,0.002289526630192995
wc2.0_bio_2.5m_5,3.3889633338928196,0.0024059966672211885
wc2.0_bio_2.5m_5,3.512217733764645,0.0025282460264861584
wc2.0_bio_2.5m_5,3.6354721336364726,0.002656553639099002
wc2.0_bio_2.5m_5,3.758726533508298,0.0027912117075175047
wc2.0_bio_2.5m_5,3.881980933380124,0.0029325250070542097
wc2.0_bio_2.5m_5,4.0052353332519495,0.003080813679844141
wc2.0_bio_2.5m_5,4.128489733123775,0.003236412536352873
wc2.0_bio_2.5m_5,4.251744132995604,0.0033996705897152424
wc2.0_bio_2.5m_5,4.374998532867426,0.0035709545481950045
wc2.0_bio_2.5m_5,4.498252932739252,0.0037506474182009697
wc2.0_bio_2.5m_5,4.621507332611081,0.003939149901270866
wc2.0_bio_2.5m_5,4.744761732482907,0.004136881325393915
wc2.0_bio_2.5m_5,4.868016132354729,0.004344279412180185
wc2.0_bio_2.5m_5,4.991270532226558,0.004561802372336388
wc2.0_bio_2.5m_5,5.114524932098384,0.004789929371327162
wc2.0_bio_2.5m_5,5.237779331970213,0.005029161926358938
wc2.0_bio_2.5m_5,5.361033731842035,0.005280024372041225
wc2.0_bio_2.5m_5,5.4842881317138605,0.005543061997741461
wc2.0_bio_2.5m_5,5.60754253158569,0.00581884803250432
wc2.0_bio_2.5m_5,5.730796931457515,0.006107980851083994
wc2.0_bio_2.5m_5,5.854051331329341,0.0064110844396054745
wc2.0_bio_2.5m_5,5.977305731201167,0.006728813052177429
wc2.0_bio_2.5m_5,6.100560131072992,0.007061846554279327
wc2.0_bio_2.5m_5,6.223814530944821,0.007410897873342037
wc2.0_bio_2.5m_5,6.3470689308166435,0.007776710670441389
wc2.0_bio_2.5m_5,6.470323330688469,0.008160063996911049
wc2.0_bio_2.5m_5,6.593577730560298,0.008561765775084496
wc2.0_bio_2.5m_5,6.716832130432124,0.008982663974165916
wc2.0_bio_2.5m_5,6.840086530303946,0.009423642419278622
wc2.0_bio_2.5m_5,6.963340930175775,0.00988562311977148
wc2.0_bio_2.5m_5,7.086595330047601,0.01036957185715437
wc2.0_bio_2.5m_5,7.20984972991943,0.010876488871872425
wc2.0_bio_2.5m_5,7.333104129791252,0.01140742376446724
wc2.0_bio_2.5m_5,7.456358529663078,0.011963468976318836
wc2.0_bio_2.5m_5,7.579612929534907,0.012545764446258545
wc2.0_bio_2.5m_5,7.7028673294067325,0.013155501335859299
wc2.0_bio_2.5m_5,7.826121729278562,0.013793912716209888
wc2.0_bio_2.5m_5,7.949376129150384,0.01446229312568903
wc2.0_bio_2.5m_5,8.07263052902221,0.015161991119384766
wc2.0_bio_2.5m_5,8.195884928894039,0.01589439995586872
wc2.0_bio_2.5m_5,8.319139328765864,0.016660990193486214
wc2.0_bio_2.5m_5,8.442393728637686,0.01746327243745327
wc2.0_bio_2.5m_5,8.565648128509515,0.01830284111201763
wc2.0_bio_2.5m_5,8.688902528381341,0.01918134093284607
wc2.0_bio_2.5m_5,8.812156928253167,0.020100479945540428
wc2.0_bio_2.5m_5,8.935411328124992,0.021062055602669716
wc2.0_bio_2.5m_5,9.058665727996818,0.022067910060286522
wc2.0_bio_2.5m_5,9.181920127868647,0.023119991645216942
wc2.0_bio_2.5m_5,9.305174527740473,0.02422030083835125
wc2.0_bio_2.5m_5,9.428428927612295,0.02537091262638569
wc2.0_bio_2.5m_5,9.551683327484124,0.026574013754725456
wc2.0_bio_2.5m_5,9.67493772735595,0.027831848710775375
wc2.0_bio_2.5m_5,9.798192127227779,0.029146745800971985
wc2.0_bio_2.5m_5,9.9214465270996,0.030521152541041374
wc2.0_bio_2.5m_5,10.044700926971426,0.03195756673812866
wc2.0_bio_2.5m_5,10.167955326843256,0.03345862403512001
wc2.0_bio_2.5m_5,10.291209726715081,0.035027019679546356
wc2.0_bio_2.5m_5,10.414464126586903,0.036665551364421844
