Predictor variable,Categorical,Sample average
Cropped_Cloud,false,159.86523079149651
alt,false,384.93939393939394
current_2.5arcmin_PETDriestQuarter,false,139.9227276426373
current_2.5arcmin_PETWettestQuarter,false,104.70575771909772
current_2.5arcmin_climaticMoistureIndex,false,0.15818181797636277
wc2.0_bio_2.5m_1,false,20.92997980117798
wc2.0_bio_2.5m_16,false,889.6969696969697
wc2.0_bio_2.5m_17,false,204.27272727272728
wc2.0_bio_2.5m_5,false,29.273939392783426
wc2.0_bio_2.5m_6,false,12.120363470279809
