X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,8.541313329037232E-4,77.00682131646603,0.9301888901550969
2.0,2.0,train,0.002976222378781959,93.29573018131225,0.999906318744957
3.0,3.0,train,0.0028192426570719143,92.7038023206332,0.9998471989451568
4.0,4.0,train,0.0029902950684277353,93.59460443180518,0.9999103386710643
5.0,5.0,train,0.002112033844229361,87.81369862375982,0.998615347855065
6.0,6.0,train,0.004640357167753802,98.49165730327893,0.9999994761230193
7.0,7.0,train,0.003128492204502884,94.8278734971108,0.9999417153838712
8.0,8.0,train,0.0030710444096855036,94.20682237891914,0.9999302875869491
10.0,10.0,train,0.0013362438019667655,82.04925813848388,0.9844625263308455
11.0,11.0,train,0.0010719609119515014,79.47028169650709,0.9645929300659238
12.0,12.0,train,6.173694227659209E-4,72.54849056203668,0.853989462749765
13.0,13.0,train,7.53381058089821E-4,75.4042964963881,0.9044367160685836
15.0,15.0,train,5.358450138176866E-5,4.512588425870915,0.15380036888522808
16.0,16.0,train,1.9393605181472294E-4,40.22644672903477,0.4536064313579915
17.0,17.0,train,7.525979152869699E-5,8.212018243631501,0.2090753596168824
18.0,18.0,train,5.223660623035689E-5,4.323520385300112,0.15023816581579608
19.0,19.0,train,5.333532208456639E-4,70.17425410304539,0.8102852997862277
20.0,20.0,train,5.140724204736998E-4,69.3555368260594,0.798535864972003
21.0,21.0,train,1.0430583879856114E-4,15.977076610153807,0.27752805886058785
22.0,22.0,train,2.5682969661421524E-4,51.64844626838276,0.5508634589053554
26.0,26.0,train,3.330494372337655E-4,59.80235402465926,0.6458280236539553
27.0,27.0,train,2.8539651668210654E-4,55.15579467009567,0.5891219809804957
28.0,28.0,train,4.4048624403955817E-4,66.47449747986327,0.7466053841272233
30.0,30.0,train,1.7510743010206985E-4,35.30280404991928,0.42058423159834546
31.0,31.0,train,3.796835065074316E-4,63.330482153679206,0.6937370177089861
32.0,32.0,train,3.1462025068200824E-4,58.09264744029797,0.6248903070543299
33.0,33.0,train,5.330732638457953E-4,70.15795954418502,0.810119700291513
34.0,34.0,train,2.3752709415292294E-4,48.650888721455495,0.5230150688520252
35.0,35.0,train,1.5192633283568535E-4,29.32768159082023,0.3771748213222825
37.0,37.0,train,1.646892801855126E-4,32.80659681438904,0.40146247692707815
38.0,38.0,train,2.5136451666059865E-4,50.815503088487034,0.5431479618236318
39.0,39.0,train,2.1707738712786534E-4,45.347883163371115,0.4916257487201299
40.0,40.0,train,2.166913877640479E-4,45.22767642434039,0.4910138090551024
42.0,42.0,train,2.6912580671886705E-4,53.37983036898121,0.5677495243796793
9.0,9.0,test,5.839259768979287E-4,71.98422371514306,0.8379495491902771
14.0,14.0,test,6.556378130621315E-4,73.33231725638987,0.8704052097924694
23.0,23.0,test,4.213183432998772E-4,65.36671096211715,0.7310067812939712
24.0,24.0,test,2.274061206709368E-4,47.19930405056379,0.5077298526186167
25.0,25.0,test,3.7010094460160174E-4,62.57220418312841,0.68445260271418
29.0,29.0,test,1.331184543711385E-4,24.144673458874117,0.3395760470519563
36.0,36.0,test,2.7925599703332955E-4,54.24910606333972,0.5811831326430938
41.0,41.0,test,3.039788883566618E-4,56.87676336748568,0.6122413641313191
