x,y,species_1 cloglog values
218.0,218.0,0.53653955
219.0,219.0,0.016633434
220.0,220.0,0.42709225
221.0,221.0,2.766003E-5
222.0,222.0,0.23039128
223.0,223.0,7.3522865E-4
224.0,224.0,0.0026080892
225.0,225.0,0.20403965
226.0,226.0,0.13948147
227.0,227.0,0.14021417
228.0,228.0,0.49201444
229.0,229.0,3.0205937E-4
230.0,230.0,0.5621561
231.0,231.0,0.012917062
232.0,232.0,0.15341586
233.0,233.0,0.17516018
234.0,234.0,0.3366175
235.0,235.0,0.0068069086
236.0,236.0,0.18796347
237.0,237.0,0.009261564
238.0,238.0,0.23911236
239.0,239.0,0.16666394
240.0,240.0,0.04274077
241.0,241.0,0.7010335
242.0,242.0,0.03354507
243.0,243.0,0.6033845
244.0,244.0,0.001412471
245.0,245.0,0.56031346
246.0,246.0,0.13235721
247.0,247.0,3.4763052E-5
248.0,248.0,0.14017594
249.0,249.0,0.35802877
250.0,250.0,6.874923E-4
251.0,251.0,0.26643023
252.0,252.0,0.38427934
253.0,253.0,0.15012078
254.0,254.0,0.26630732
255.0,255.0,0.3096731
256.0,256.0,1.1167732E-4
257.0,257.0,4.8651558E-4
258.0,258.0,1.4664438E-4
259.0,259.0,0.24610764
260.0,260.0,7.751814E-4
261.0,261.0,0.07118627
262.0,262.0,0.29169965
263.0,263.0,7.5286946E-5
264.0,264.0,0.51624495
265.0,265.0,0.4120869
266.0,266.0,0.026075114
267.0,267.0,0.5674326
268.0,268.0,0.4368952
269.0,269.0,0.26855603
270.0,270.0,0.575858
271.0,271.0,0.0095793465
272.0,272.0,0.8091777
273.0,273.0,0.0019245426
274.0,274.0,0.0023473995
275.0,275.0,0.0968163
276.0,276.0,0.0012594045
277.0,277.0,0.74517363
278.0,278.0,0.5765756
279.0,279.0,3.5226953E-4
280.0,280.0,0.12230134
281.0,281.0,0.049330145
282.0,282.0,0.15681529
283.0,283.0,0.41846415
284.0,284.0,4.2600025E-4
285.0,285.0,0.09148035
286.0,286.0,0.3310959
287.0,287.0,0.15161479
288.0,288.0,0.048918817
289.0,289.0,0.56024
290.0,290.0,8.480877E-5
291.0,291.0,0.1521306
292.0,292.0,0.2540099
293.0,293.0,0.11255141
294.0,294.0,0.007988607
295.0,295.0,0.09271629
296.0,296.0,0.28977486
297.0,297.0,0.11180524
298.0,298.0,0.42194432
