Predictor variable,Categorical,Sample average
Cropped_Cloud,false,163.79443269617417
alt,false,384.8235294117647
current_2.5arcmin_PETDriestQuarter,false,136.81970573874082
current_2.5arcmin_PETWettestQuarter,false,103.03029410979327
current_2.5arcmin_climaticMoistureIndex,false,0.1444117642719956
wc2.0_bio_2.5m_1,false,20.783240164027493
wc2.0_bio_2.5m_16,false,868.8235294117648
wc2.0_bio_2.5m_17,false,199.14705882352942
wc2.0_bio_2.5m_5,false,29.091647063984592
wc2.0_bio_2.5m_6,false,12.035764562733034
