x,y,species median
216.0,216.0,0.045732204
217.0,217.0,0.21994069
218.0,218.0,0.53653955
219.0,219.0,0.016633434
220.0,220.0,0.44185406
221.0,221.0,6.6711306E-7
222.0,222.0,0.25689772
223.0,223.0,4.601833E-4
224.0,224.0,6.368423E-5
225.0,225.0,0.20403965
226.0,226.0,0.27400896
227.0,227.0,0.16275594
228.0,228.0,0.3725788
229.0,229.0,5.091549E-5
230.0,230.0,0.42657834
231.0,231.0,0.020313533
232.0,232.0,0.12218
233.0,233.0,0.28011727
234.0,234.0,0.3366175
235.0,235.0,0.0070774923
236.0,236.0,0.18796347
237.0,237.0,0.005231938
238.0,238.0,0.23911236
239.0,239.0,0.25088248
240.0,240.0,0.05064706
241.0,241.0,0.5128238
242.0,242.0,0.06880454
243.0,243.0,0.48996094
244.0,244.0,4.7144058E-4
245.0,245.0,0.53416705
246.0,246.0,0.0871585
247.0,247.0,1.0715679E-6
248.0,248.0,0.11088267
249.0,249.0,0.29559445
250.0,250.0,1.2042721E-4
251.0,251.0,0.40722558
252.0,252.0,0.39924273
253.0,253.0,0.21100421
254.0,254.0,0.2522978
255.0,255.0,0.25925773
256.0,256.0,1.3154845E-5
257.0,257.0,1.1156228E-4
258.0,258.0,1.636854E-5
259.0,259.0,0.1906353
260.0,260.0,6.1536307E-4
261.0,261.0,0.1676222
262.0,262.0,0.29169965
263.0,263.0,5.0615276E-6
264.0,264.0,0.5204737
265.0,265.0,0.4120869
266.0,266.0,0.016024703
267.0,267.0,0.46663743
268.0,268.0,0.4368952
269.0,269.0,0.26855603
270.0,270.0,0.6501456
271.0,271.0,0.02512948
272.0,272.0,0.8091777
273.0,273.0,4.3124886E-4
274.0,274.0,0.0024615864
275.0,275.0,0.12035784
276.0,276.0,3.9936352E-4
277.0,277.0,0.74517363
278.0,278.0,0.5765756
279.0,279.0,6.962825E-5
280.0,280.0,0.12230134
281.0,281.0,0.06488437
282.0,282.0,0.10081761
283.0,283.0,0.43411055
284.0,284.0,4.266671E-5
285.0,285.0,0.118975036
286.0,286.0,0.27300927
287.0,287.0,0.18751186
288.0,288.0,0.08851839
289.0,289.0,0.51307666
290.0,290.0,7.3950278E-6
291.0,291.0,0.30778825
292.0,292.0,0.33072403
293.0,293.0,0.07600268
294.0,294.0,0.007988607
295.0,295.0,0.2626332
296.0,296.0,0.28977486
297.0,297.0,0.19977917
298.0,298.0,0.52797824
299.0,299.0,0.45931804
300.0,300.0,8.8518376E-5
301.0,301.0,1.0048663E-4
302.0,302.0,9.985821E-6
303.0,303.0,0.13228822
304.0,304.0,0.19724339
305.0,305.0,0.3076132
306.0,306.0,9.529506E-7
307.0,307.0,0.043735225
308.0,308.0,6.038825E-5
309.0,309.0,0.10472038
310.0,310.0,1.00359226E-4
311.0,311.0,0.094459
312.0,312.0,0.40551952
313.0,313.0,0.23104368
314.0,314.0,0.20908171
315.0,315.0,0.0107829925
316.0,316.0,0.3661954
317.0,317.0,0.96554726
318.0,318.0,0.022392867
319.0,319.0,0.50622576
320.0,320.0,0.53290343
321.0,321.0,7.783767E-4
322.0,322.0,9.435706E-4
323.0,323.0,0.005334405
324.0,324.0,9.1327267E-4
325.0,325.0,0.098621614
326.0,326.0,0.15018378
327.0,327.0,0.20739701
328.0,328.0,2.7664768E-4
329.0,329.0,0.0015893619
330.0,330.0,0.18628354
331.0,331.0,0.3500403
332.0,332.0,0.14981559
333.0,333.0,0.002606455
334.0,334.0,0.5954284
335.0,335.0,0.033047598
336.0,336.0,9.452145E-5
337.0,337.0,4.0172014E-4
338.0,338.0,0.27910993
339.0,339.0,0.09197723
340.0,340.0,0.02853939
341.0,341.0,0.21903719
342.0,342.0,3.687816E-6
343.0,343.0,0.46502054
344.0,344.0,0.0075406847
345.0,345.0,0.26939452
346.0,346.0,0.48488685
347.0,347.0,0.24781409
348.0,348.0,0.42405248
