x,y,species max
128.0,128.0,4.4301745E-5
129.0,129.0,0.30890232
130.0,130.0,0.6379798
131.0,131.0,0.21374257
132.0,132.0,9.9744E-4
133.0,133.0,7.94156E-4
134.0,134.0,0.31317905
135.0,135.0,0.26107216
136.0,136.0,0.064914756
137.0,137.0,0.14022696
138.0,138.0,3.4514678E-4
139.0,139.0,4.241384E-4
140.0,140.0,0.19518866
141.0,141.0,0.37988845
142.0,142.0,0.32397616
143.0,143.0,0.40193975
144.0,144.0,0.29916298
145.0,145.0,0.27094954
146.0,146.0,9.612301E-4
147.0,147.0,0.34233767
148.0,148.0,0.2627371
149.0,149.0,0.0012134477
150.0,150.0,0.4301445
151.0,151.0,0.045219027
152.0,152.0,0.0026569942
153.0,153.0,0.10289493
154.0,154.0,0.8947371
155.0,155.0,5.378351E-4
156.0,156.0,0.006563457
157.0,157.0,0.05951231
158.0,158.0,0.39162526
159.0,159.0,0.0016975004
160.0,160.0,0.36846152
161.0,161.0,0.019301819
162.0,162.0,0.48328954
163.0,163.0,0.6787974
164.0,164.0,0.28745762
165.0,165.0,0.8189954
166.0,166.0,0.16062349
167.0,167.0,4.5837424E-4
168.0,168.0,0.5625765
169.0,169.0,0.5317742
170.0,170.0,0.50606406
171.0,171.0,2.1109723E-4
172.0,172.0,0.12579691
173.0,173.0,0.36000615
174.0,174.0,6.8498123E-4
175.0,175.0,0.45623073
176.0,176.0,0.0015602211
177.0,177.0,0.014837371
178.0,178.0,0.17137374
179.0,179.0,0.68139076
180.0,180.0,0.44957983
181.0,181.0,0.50053006
182.0,182.0,0.33983368
183.0,183.0,0.5437232
184.0,184.0,0.35586172
185.0,185.0,0.45859075
186.0,186.0,0.0027465501
187.0,187.0,0.6978435
188.0,188.0,0.4789607
189.0,189.0,0.01237396
190.0,190.0,0.5800551
191.0,191.0,0.31157464
192.0,192.0,0.0025500758
193.0,193.0,0.0023662911
194.0,194.0,0.13549991
195.0,195.0,0.046804834
196.0,196.0,0.63970894
197.0,197.0,5.6407935E-5
198.0,198.0,5.816539E-4
199.0,199.0,0.0012597305
200.0,200.0,0.6984273
201.0,201.0,0.4550872
202.0,202.0,5.3676317E-4
203.0,203.0,0.006957271
204.0,204.0,0.44940653
205.0,205.0,0.20618276
206.0,206.0,0.2604656
207.0,207.0,0.17270754
208.0,208.0,0.15344809
209.0,209.0,0.15708733
210.0,210.0,0.20451778
211.0,211.0,7.2605396E-4
212.0,212.0,0.106330045
213.0,213.0,6.822554E-4
214.0,214.0,0.484151
215.0,215.0,0.0057682088
216.0,216.0,0.07734936
217.0,217.0,0.25045183
218.0,218.0,0.64466804
219.0,219.0,0.03778898
220.0,220.0,0.5489005
221.0,221.0,2.766003E-5
222.0,222.0,0.41015765
223.0,223.0,0.0011205281
224.0,224.0,0.0026080892
225.0,225.0,0.2533607
226.0,226.0,0.3512956
227.0,227.0,0.23719493
228.0,228.0,0.49201444
229.0,229.0,3.0205937E-4
230.0,230.0,0.5621561
231.0,231.0,0.02564317
232.0,232.0,0.21745355
233.0,233.0,0.29864702
234.0,234.0,0.37970924
235.0,235.0,0.013572829
236.0,236.0,0.27266353
237.0,237.0,0.009261564
238.0,238.0,0.24643198
239.0,239.0,0.49934757
240.0,240.0,0.05974435
241.0,241.0,0.7010335
242.0,242.0,0.18238248
243.0,243.0,0.6033845
244.0,244.0,0.001412471
245.0,245.0,0.5907234
246.0,246.0,0.13235721
247.0,247.0,3.4763052E-5
248.0,248.0,0.14017594
249.0,249.0,0.35802877
250.0,250.0,6.874923E-4
251.0,251.0,0.6154134
252.0,252.0,0.46503976
253.0,253.0,0.25315142
254.0,254.0,0.2803817
255.0,255.0,0.32174093
256.0,256.0,1.1167732E-4
257.0,257.0,5.217115E-4
258.0,258.0,1.4664438E-4
259.0,259.0,0.2533056
260.0,260.0,0.0010322533
261.0,261.0,0.2567605
262.0,262.0,0.3148886
263.0,263.0,7.5286946E-5
264.0,264.0,0.6975564
265.0,265.0,0.50271004
266.0,266.0,0.03454641
267.0,267.0,0.65447897
268.0,268.0,0.5051301
269.0,269.0,0.33109683
270.0,270.0,0.86507446
271.0,271.0,0.041210487
272.0,272.0,0.9378023
273.0,273.0,0.0019245426
274.0,274.0,0.004853363
275.0,275.0,0.18552202
276.0,276.0,0.0012594045
277.0,277.0,0.8187391
278.0,278.0,0.61400366
279.0,279.0,3.6811602E-4
280.0,280.0,0.1875134
281.0,281.0,0.10229429
282.0,282.0,0.15681529
283.0,283.0,0.48403215
284.0,284.0,4.2600025E-4
285.0,285.0,0.18154496
286.0,286.0,0.3863196
