Predictor variable,Categorical,Sample average
Cropped_Cloud,false,155.03096075817547
alt,false,635.6548672735164
current_2.5arcmin_PETDriestQuarter,false,90.11982303383076
current_2.5arcmin_PETWettestQuarter,false,109.84654857416069
current_2.5arcmin_climaticMoistureIndex,false,-0.0145132731382562
wc2.0_bio_2.5m_1,false,12.951650843518761
wc2.0_bio_2.5m_16,false,458.91150442477874
wc2.0_bio_2.5m_17,false,163.20353982300884
wc2.0_bio_2.5m_5,false,27.19136417017574
wc2.0_bio_2.5m_6,false,-2.8628985514221466
