X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
121.0,121.0,train,1.1502680388638464E-4,21.506329580384012,0.3734999601518809
123.0,123.0,train,2.466551650637752E-4,39.018847096058074,0.633113028316449
124.0,124.0,train,1.4979867188630156E-4,26.37894367901654,0.45608423126683517
126.0,126.0,train,1.7426219433148263E-4,29.319031073345975,0.507573408072994
127.0,127.0,train,1.4366611098716617E-5,1.4483147428401753,0.05673034443605085
128.0,128.0,train,3.7922645290843307E-4,62.02556075407102,0.7859679812916045
130.0,130.0,train,1.523875973240284E-4,26.711170198154047,0.4617786482411451
131.0,131.0,train,3.5164492850647986E-5,6.655745498343843,0.13320305754635764
132.0,132.0,train,3.640467661327918E-5,6.987957543989517,0.13756209435566857
134.0,134.0,train,5.0533263401876826E-5,10.61930471005255,0.18570094662085657
135.0,135.0,train,1.6191575194743295E-4,27.92950840445499,0.4822274262083702
136.0,136.0,train,3.321158934653174E-4,53.291393204637124,0.7407898153411365
137.0,137.0,train,4.237501776231045E-4,69.0143107206953,0.8214036948551238
138.0,138.0,train,2.8982621621878265E-4,46.50677670784758,0.6921677288787697
139.0,139.0,train,1.0236688495453544E-4,19.682148679523525,0.340412999115527
140.0,140.0,train,9.380905233577106E-5,18.479708421695165,0.31706263801911205
141.0,141.0,train,8.557439756877402E-5,17.243969238982395,0.29381402292972103
142.0,142.0,train,1.1785801469047965E-4,21.88999533151705,0.38066927905554104
6.0,6.0,test,1.9548279936561864E-4,32.05936891532942,0.5482723335870421
9.0,9.0,test,1.6454384879789957E-4,28.29034495364293,0.4877297223824004
16.0,16.0,test,6.358216493999903E-5,13.461923851637863,0.227770835892952
25.0,25.0,test,3.509361503880683E-4,56.690462295862176,0.7598818165075512
29.0,29.0,test,0.0010025170645594638,93.7262859376871,0.9830150533830964
32.0,32.0,test,1.677072480671958E-4,28.6183396965318,0.49427525686309404
46.0,46.0,test,2.0452050644514426E-4,33.2355091663526,0.5645676504425496
48.0,48.0,test,2.2556382704630334E-4,35.91853138011407,0.6002680357477077
51.0,51.0,test,1.9260872453025178E-4,31.724009053089013,0.542963541189657
52.0,52.0,test,4.989890166233856E-4,77.10818391385031,0.8684657342707246
56.0,56.0,test,2.4310977582846834E-4,38.580783272882314,0.6277869066767536
58.0,58.0,test,3.027233473194791E-4,48.54697478505485,0.707891385214653
60.0,60.0,test,2.932745387344167E-4,47.029917909970536,0.6964528491850379
66.0,66.0,test,0.001991647203059637,98.50606968620457,0.9996953768653926
67.0,67.0,test,1.6172308708451599E-4,27.906860116029762,0.4818217373530842
69.0,69.0,test,3.750044514071592E-4,61.31167463303144,0.7822627881758456
71.0,71.0,test,3.550844607652952E-4,57.55750199183226,0.7638971439403677
74.0,74.0,test,6.815437316380715E-4,86.02663437175089,0.9373761125037183
81.0,81.0,test,4.2699429863995867E-4,69.58516423125569,0.823743557482092
91.0,91.0,test,1.505401886768508E-4,26.474573141985537,0.4577213480643272
92.0,92.0,test,2.1005624900109803E-4,34.11696877544714,0.5742571314806619
105.0,105.0,test,2.253046598285113E-4,35.876537834376144,0.5998466700527614
109.0,109.0,test,1.361183826255188E-4,24.565835072026957,0.4249784905787958
117.0,117.0,test,2.9109124416123945E-4,46.648363713356225,0.6937467192337041
122.0,122.0,test,1.759506400005984E-4,29.505549719790338,0.5109417828290637
125.0,125.0,test,3.796904847934594E-4,62.07227359301469,0.7863713465082749
129.0,129.0,test,6.291546592326304E-5,13.305739152617361,0.22567505389971454
133.0,133.0,test,3.4069786761307144E-4,54.82146845761679,0.7496770575562537
