x,y,species min
226.0,226.0,0.81545156
227.0,227.0,4.6479294E-5
228.0,228.0,0.039757878
229.0,229.0,0.80613154
230.0,230.0,3.7875233E-4
231.0,231.0,0.62944454
232.0,232.0,0.24776901
233.0,233.0,0.0051140278
234.0,234.0,0.43211442
235.0,235.0,0.023376262
236.0,236.0,0.6648273
237.0,237.0,0.063939475
238.0,238.0,0.59656876
239.0,239.0,0.396706
240.0,240.0,0.0013102463
241.0,241.0,0.3545541
242.0,242.0,0.15665548
243.0,243.0,0.042436898
244.0,244.0,0.060445257
245.0,245.0,0.06061878
246.0,246.0,0.006999336
247.0,247.0,0.052409183
248.0,248.0,0.028859332
249.0,249.0,5.320877E-5
250.0,250.0,0.16833416
251.0,251.0,3.3420665E-4
252.0,252.0,0.24547969
253.0,253.0,0.013322544
254.0,254.0,0.7357172
255.0,255.0,0.6755865
256.0,256.0,0.03336878
257.0,257.0,0.038809016
258.0,258.0,0.40619662
259.0,259.0,0.004532193
260.0,260.0,0.14232124
261.0,261.0,0.037897058
262.0,262.0,0.06588717
263.0,263.0,0.0019134986
264.0,264.0,0.0040900935
265.0,265.0,0.049600884
266.0,266.0,0.025552217
267.0,267.0,0.063999824
268.0,268.0,0.01164505
269.0,269.0,0.49445263
270.0,270.0,0.021839233
271.0,271.0,0.014757335
272.0,272.0,1.643676E-5
273.0,273.0,0.4638894
274.0,274.0,0.019153642
275.0,275.0,0.07143143
276.0,276.0,2.2784732E-5
277.0,277.0,0.30523458
278.0,278.0,0.9359324
279.0,279.0,0.08700651
280.0,280.0,0.32388157
281.0,281.0,0.01190445
282.0,282.0,0.76338166
283.0,283.0,0.15456307
284.0,284.0,0.021346059
285.0,285.0,0.025838673
286.0,286.0,0.7551894
287.0,287.0,0.005252233
288.0,288.0,2.9388306E-4
289.0,289.0,0.012972407
290.0,290.0,0.4829504
291.0,291.0,0.08435825
292.0,292.0,0.0074140136
293.0,293.0,0.008078653
294.0,294.0,0.80223817
295.0,295.0,5.1830977E-4
296.0,296.0,0.6471095
297.0,297.0,0.010948041
298.0,298.0,0.0168381
299.0,299.0,0.101558864
300.0,300.0,0.002089858
301.0,301.0,0.7591368
302.0,302.0,4.4017386E-5
303.0,303.0,0.5370211
304.0,304.0,0.71042234
305.0,305.0,0.11615777
306.0,306.0,0.8833343
307.0,307.0,0.021863054
308.0,308.0,0.14484933
309.0,309.0,0.109734416
310.0,310.0,0.015723787
311.0,311.0,0.7514661
312.0,312.0,0.015734065
313.0,313.0,0.053943835
314.0,314.0,0.056828763
315.0,315.0,0.30264437
316.0,316.0,4.8549502E-4
317.0,317.0,0.01860656
318.0,318.0,0.06521704
319.0,319.0,0.09425952
320.0,320.0,0.1826566
321.0,321.0,0.10782894
322.0,322.0,0.5613033
323.0,323.0,0.1617753
324.0,324.0,0.08281594
325.0,325.0,0.015666433
326.0,326.0,0.11640789
327.0,327.0,0.040417396
328.0,328.0,0.044526648
329.0,329.0,0.14506152
330.0,330.0,0.009625601
331.0,331.0,0.23639378
332.0,332.0,0.12990564
333.0,333.0,0.1683718
334.0,334.0,0.015678933
335.0,335.0,0.2619893
336.0,336.0,0.5159247
337.0,337.0,0.44442612
338.0,338.0,0.17436619
339.0,339.0,0.021314612
340.0,340.0,0.024303941
341.0,341.0,0.3925229
342.0,342.0,0.002074003
343.0,343.0,0.01703351
344.0,344.0,0.00358735
345.0,345.0,0.030716838
346.0,346.0,0.5925677
347.0,347.0,0.011627379
348.0,348.0,2.934122E-5
349.0,349.0,0.10746103
350.0,350.0,0.08638153
351.0,351.0,0.037141915
352.0,352.0,0.013302572
353.0,353.0,0.21562836
354.0,354.0,0.23592763
355.0,355.0,0.816821
356.0,356.0,0.015624899
357.0,357.0,0.041332703
358.0,358.0,0.12482239
359.0,359.0,0.7122812
360.0,360.0,0.6533023
361.0,361.0,0.31052488
362.0,362.0,0.06233963
363.0,363.0,3.750435E-4
364.0,364.0,0.016599359
365.0,365.0,0.001920286
366.0,366.0,0.089359604
367.0,367.0,2.9435763E-4
368.0,368.0,0.81434613
369.0,369.0,2.8135345E-4
370.0,370.0,0.4340005
371.0,371.0,0.15657142
372.0,372.0,0.117697746
373.0,373.0,0.74720156
374.0,374.0,0.046211347
375.0,375.0,2.7220432E-5
376.0,376.0,0.0068560364
377.0,377.0,0.0230224
378.0,378.0,0.77891195
379.0,379.0,0.009151286
380.0,380.0,2.7179756E-5
381.0,381.0,0.031727444
382.0,382.0,0.002437682
383.0,383.0,0.006121169
384.0,384.0,0.020668412
385.0,385.0,0.03228916
386.0,386.0,0.5992787
387.0,387.0,0.034218363
388.0,388.0,0.34183234
389.0,389.0,0.0028883377
390.0,390.0,0.17882583
391.0,391.0,0.010829856
392.0,392.0,0.0021596628
393.0,393.0,0.025557388
394.0,394.0,0.016731858
395.0,395.0,0.006590383
396.0,396.0,0.08036699
397.0,397.0,0.040237874
398.0,398.0,0.30351573
399.0,399.0,0.017079467
400.0,400.0,0.023973526
401.0,401.0,0.6078304
402.0,402.0,0.4674947
403.0,403.0,0.80258775
404.0,404.0,2.2535061E-4
405.0,405.0,0.78241473
406.0,406.0,0.01687461
407.0,407.0,0.014624781
408.0,408.0,0.028237598
409.0,409.0,6.079933E-4
410.0,410.0,0.10784645
