Predictor variable,Categorical,Sample average
Cropped_Cloud,false,151.24112293176483
alt,false,661.0964912448013
current_2.5arcmin_PETDriestQuarter,false,92.99403485080651
current_2.5arcmin_PETWettestQuarter,false,106.65491189873009
current_2.5arcmin_climaticMoistureIndex,false,-0.021315788016899637
wc2.0_bio_2.5m_1,false,13.003868257071366
wc2.0_bio_2.5m_16,false,460.43859649122805
wc2.0_bio_2.5m_17,false,163.8684210526316
wc2.0_bio_2.5m_5,false,27.19359096727873
wc2.0_bio_2.5m_6,false,-2.7493993952674303
