x,y,species_1 cloglog values
214.0,214.0,0.0013122228
215.0,215.0,0.6632091
216.0,216.0,0.74835044
217.0,217.0,0.8065321
218.0,218.0,4.4716074E-4
219.0,219.0,0.061354037
220.0,220.0,6.490484E-4
221.0,221.0,0.07298398
222.0,222.0,0.74988574
223.0,223.0,0.0064935237
224.0,224.0,0.0010615053
225.0,225.0,0.5555982
226.0,226.0,0.005625795
227.0,227.0,0.009212498
228.0,228.0,1.4866436E-4
229.0,229.0,0.0019278663
230.0,230.0,0.0049195304
231.0,231.0,0.009718117
232.0,232.0,3.777701E-4
233.0,233.0,2.6279472E-6
234.0,234.0,5.8766113E-7
235.0,235.0,1.700913E-5
236.0,236.0,0.037585422
237.0,237.0,0.023100367
238.0,238.0,8.3376755E-5
239.0,239.0,0.0011567505
240.0,240.0,0.0029044289
241.0,241.0,0.0028942295
242.0,242.0,1.7048862E-5
243.0,243.0,0.0028261738
244.0,244.0,2.5010839E-5
245.0,245.0,0.00468301
246.0,246.0,6.46089E-4
247.0,247.0,0.2234166
248.0,248.0,2.1087313E-4
249.0,249.0,0.0015695337
250.0,250.0,3.4412897E-5
251.0,251.0,0.19412066
252.0,252.0,5.189387E-4
253.0,253.0,0.001164761
254.0,254.0,9.05406E-5
255.0,255.0,0.008572409
256.0,256.0,2.118865E-4
257.0,257.0,0.0040145437
258.0,258.0,0.37352088
259.0,259.0,0.246074
260.0,260.0,0.0035779239
261.0,261.0,0.0030909034
262.0,262.0,2.5563678E-4
263.0,263.0,7.0180155E-5
264.0,264.0,0.86009645
265.0,265.0,0.010310662
266.0,266.0,0.007854214
267.0,267.0,0.008585787
268.0,268.0,1.532568E-5
269.0,269.0,2.604532E-5
270.0,270.0,0.1629287
271.0,271.0,2.007865E-4
272.0,272.0,0.0048244023
273.0,273.0,0.8302138
274.0,274.0,0.07317412
275.0,275.0,8.528335E-4
276.0,276.0,1.06328516E-4
277.0,277.0,0.83116925
278.0,278.0,0.46017876
279.0,279.0,0.8092591
280.0,280.0,9.993057E-4
281.0,281.0,1.594348E-5
282.0,282.0,2.2118556E-5
283.0,283.0,0.005885359
284.0,284.0,7.4073474E-4
285.0,285.0,0.653872
286.0,286.0,0.004628602
287.0,287.0,6.57982E-4
288.0,288.0,1.862666E-4
289.0,289.0,0.013183236
290.0,290.0,0.0062821307
291.0,291.0,0.61852515
292.0,292.0,0.026554665
293.0,293.0,0.008542173
294.0,294.0,3.896304E-5
295.0,295.0,0.119272925
296.0,296.0,2.3781473E-5
297.0,297.0,4.557019E-5
298.0,298.0,0.0028210776
299.0,299.0,1.5932717E-4
