x,y,species max
217.0,217.0,0.8065321
218.0,218.0,0.0028495106
219.0,219.0,0.06855251
220.0,220.0,6.490484E-4
221.0,221.0,0.1323818
222.0,222.0,0.74988574
223.0,223.0,0.0064935237
224.0,224.0,0.0010615053
225.0,225.0,0.5884382
226.0,226.0,0.010763872
227.0,227.0,0.010301335
228.0,228.0,1.4866436E-4
229.0,229.0,0.0019278663
230.0,230.0,0.01220231
231.0,231.0,0.009718117
232.0,232.0,7.526651E-4
233.0,233.0,2.6279472E-6
234.0,234.0,7.1296377E-6
235.0,235.0,1.700913E-5
236.0,236.0,0.037585422
237.0,237.0,0.023100367
238.0,238.0,8.3376755E-5
239.0,239.0,0.012006069
240.0,240.0,0.0038811888
241.0,241.0,0.0028942295
242.0,242.0,1.7048862E-5
243.0,243.0,0.008070407
244.0,244.0,7.8744E-5
245.0,245.0,0.00468301
246.0,246.0,0.0010912935
247.0,247.0,0.49587703
248.0,248.0,3.644752E-4
249.0,249.0,0.0015695337
250.0,250.0,3.4412897E-5
251.0,251.0,0.19412066
252.0,252.0,5.450982E-4
253.0,253.0,0.001164761
254.0,254.0,2.0328625E-4
255.0,255.0,0.010632356
256.0,256.0,4.522052E-4
257.0,257.0,0.011882033
258.0,258.0,0.39543325
259.0,259.0,0.38690117
260.0,260.0,0.0035779239
261.0,261.0,0.0032185884
262.0,262.0,4.5143612E-4
263.0,263.0,8.000558E-5
264.0,264.0,0.86009645
265.0,265.0,0.010310662
266.0,266.0,0.007854214
267.0,267.0,0.010484927
268.0,268.0,8.253541E-5
269.0,269.0,5.8219724E-5
270.0,270.0,0.2579873
271.0,271.0,2.007865E-4
272.0,272.0,0.0048244023
273.0,273.0,0.83100563
274.0,274.0,0.07317412
275.0,275.0,8.528335E-4
276.0,276.0,1.3370567E-4
277.0,277.0,0.83116925
278.0,278.0,0.68606186
279.0,279.0,0.8092591
280.0,280.0,9.993057E-4
281.0,281.0,3.1268453E-5
282.0,282.0,7.5262535E-5
283.0,283.0,0.0064285514
284.0,284.0,7.4073474E-4
285.0,285.0,0.653872
286.0,286.0,0.008650715
287.0,287.0,6.942022E-4
288.0,288.0,2.8765E-4
289.0,289.0,0.014586363
290.0,290.0,0.0101197725
291.0,291.0,0.61852515
292.0,292.0,0.026554665
293.0,293.0,0.008542173
294.0,294.0,3.896304E-5
295.0,295.0,0.1430056
296.0,296.0,2.3781473E-5
297.0,297.0,7.5941665E-5
298.0,298.0,0.0056184386
299.0,299.0,1.5932717E-4
300.0,300.0,4.422574E-6
301.0,301.0,0.8406886
302.0,302.0,2.920661E-4
303.0,303.0,0.00201666
304.0,304.0,0.012135613
305.0,305.0,0.05805391
306.0,306.0,2.1257637E-4
307.0,307.0,6.763843E-5
308.0,308.0,0.0069364854
309.0,309.0,4.5383113E-4
310.0,310.0,3.5968114E-5
311.0,311.0,0.0056287698
312.0,312.0,0.013566501
313.0,313.0,0.022726558
314.0,314.0,0.0017158164
315.0,315.0,0.011380127
316.0,316.0,0.008477347
317.0,317.0,0.007302923
318.0,318.0,0.67501354
319.0,319.0,0.012507889
320.0,320.0,3.2324937E-5
321.0,321.0,8.899738E-6
322.0,322.0,0.008588227
323.0,323.0,0.31099457
324.0,324.0,0.0039573847
325.0,325.0,1.0466407E-4
326.0,326.0,0.016488045
327.0,327.0,0.83382696
328.0,328.0,0.0062862085
329.0,329.0,0.003974345
330.0,330.0,0.2908665
331.0,331.0,4.505958E-4
332.0,332.0,0.006901179
333.0,333.0,1.11428155E-4
334.0,334.0,9.87624E-4
335.0,335.0,4.6078852E-4
336.0,336.0,0.021718983
337.0,337.0,2.4941064E-5
338.0,338.0,1.9587274E-4
339.0,339.0,0.029020464
340.0,340.0,0.0013782217
341.0,341.0,0.0011908762
342.0,342.0,4.7057754E-5
343.0,343.0,0.009077047
344.0,344.0,0.0069793696
345.0,345.0,9.210436E-5
346.0,346.0,0.0064736637
347.0,347.0,7.218177E-5
348.0,348.0,3.5529483E-5
349.0,349.0,0.008765842
350.0,350.0,0.68443054
351.0,351.0,0.0057634837
352.0,352.0,5.0009723E-5
353.0,353.0,0.017809402
354.0,354.0,9.135351E-5
355.0,355.0,2.0620554E-4
356.0,356.0,3.1784765E-4
357.0,357.0,0.82072484
358.0,358.0,0.013228295
359.0,359.0,3.9573144E-5
360.0,360.0,0.054293495
361.0,361.0,3.1122709E-6
362.0,362.0,0.070735484
363.0,363.0,7.2487683E-6
364.0,364.0,2.5631342E-4
365.0,365.0,5.6314708E-5
366.0,366.0,0.8124217
367.0,367.0,4.6896067E-4
368.0,368.0,0.64723974
369.0,369.0,7.908926E-5
370.0,370.0,0.71905243
371.0,371.0,0.0065196836
372.0,372.0,0.5767076
373.0,373.0,0.0018453646
374.0,374.0,0.6592371
375.0,375.0,0.010994183
376.0,376.0,0.40599567
377.0,377.0,4.975761E-4
378.0,378.0,1.2979368E-6
379.0,379.0,5.483751E-4
380.0,380.0,0.035525683
381.0,381.0,6.125354E-4
382.0,382.0,0.036304142
383.0,383.0,0.020211998
384.0,384.0,0.008241071
385.0,385.0,0.0010925925
386.0,386.0,0.0020079787
387.0,387.0,0.3980753
388.0,388.0,0.1856893
389.0,389.0,1.9325857E-4
390.0,390.0,7.2140338E-6
391.0,391.0,0.009424285
392.0,392.0,0.012861071
393.0,393.0,0.87527025
394.0,394.0,0.71296364
395.0,395.0,0.007918686
396.0,396.0,0.002471089
397.0,397.0,3.4632703E-4
398.0,398.0,0.0059425104
399.0,399.0,0.0029357516
400.0,400.0,1.170537E-5
401.0,401.0,0.013957763
402.0,402.0,0.61503106
403.0,403.0,0.014020426
404.0,404.0,0.75299984
405.0,405.0,0.012586339
406.0,406.0,0.092534915
407.0,407.0,0.020677714
408.0,408.0,0.066883646
409.0,409.0,0.0034351263
410.0,410.0,0.83360016
411.0,411.0,4.843033E-5
412.0,412.0,0.0076978914
413.0,413.0,0.766913
414.0,414.0,0.2713838
415.0,415.0,2.5935115E-5
416.0,416.0,0.0016414078
417.0,417.0,0.0016683195
418.0,418.0,0.0076784953
419.0,419.0,0.06551077
420.0,420.0,0.02467063
421.0,421.0,0.0015027159
422.0,422.0,0.0041184346
423.0,423.0,0.013721958
424.0,424.0,0.0017415324
425.0,425.0,6.2343734E-4
426.0,426.0,0.007779751
427.0,427.0,0.27980635
428.0,428.0,0.008495102
429.0,429.0,0.0019232695
430.0,430.0,0.002877235
431.0,431.0,8.652771E-4
432.0,432.0,0.032115802
433.0,433.0,0.010705568
434.0,434.0,9.310766E-4
435.0,435.0,0.6602136
436.0,436.0,0.006106778
437.0,437.0,0.01905537
438.0,438.0,4.2645454E-5
439.0,439.0,0.76112884
440.0,440.0,0.0036916363
441.0,441.0,0.013596526
442.0,442.0,5.5694225E-5
443.0,443.0,0.010805638
444.0,444.0,5.71003E-6
445.0,445.0,0.0048455168
446.0,446.0,5.1380674E-5
447.0,447.0,0.08929111
448.0,448.0,0.030983653
449.0,449.0,0.0052734027
450.0,450.0,0.0063284943
451.0,451.0,0.6308329
452.0,452.0,0.068305895
453.0,453.0,0.4262312
454.0,454.0,3.0634843E-4
455.0,455.0,3.602112E-5
456.0,456.0,2.3826155E-4
457.0,457.0,0.016430113
458.0,458.0,5.7725003E-4
459.0,459.0,0.7032315
460.0,460.0,2.0820294E-4
461.0,461.0,7.5747914E-5
462.0,462.0,4.7203334E-4
463.0,463.0,0.0094217425
464.0,464.0,8.15867E-5
465.0,465.0,0.0053234445
466.0,466.0,6.353945E-4
467.0,467.0,0.0116473
468.0,468.0,0.0026235103
469.0,469.0,0.0018405318
470.0,470.0,0.002183299
471.0,471.0,0.022535793
472.0,472.0,9.5433736E-4
473.0,473.0,0.11907467
474.0,474.0,0.003534359
475.0,475.0,0.0027270522
476.0,476.0,0.00425044
477.0,477.0,0.011304436
478.0,478.0,0.023212584
479.0,479.0,1.383698E-7
480.0,480.0,0.028228613
481.0,481.0,0.01185751
482.0,482.0,0.015415838
483.0,483.0,0.023797866
484.0,484.0,0.013434844
485.0,485.0,0.71112967
486.0,486.0,0.0030885022
487.0,487.0,0.01192372
488.0,488.0,0.7103996
489.0,489.0,7.239487E-4
490.0,490.0,0.006221432
491.0,491.0,9.61871E-4
492.0,492.0,0.011821001
493.0,493.0,5.7718622E-5
494.0,494.0,0.050950542
