X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
2.0,2.0,train,8.92302391504577E-4,65.93417368464166,0.7716127347197217
3.0,3.0,train,5.401008688890389E-4,29.036928718999075,0.5909173009815765
4.0,4.0,train,0.001271041659677312,88.58364485126589,0.8779721177096582
5.0,5.0,train,2.9852022410522926E-4,10.770907133133662,0.38984054007870095
6.0,6.0,train,6.687174100251245E-4,43.780935929207864,0.6693488598662014
7.0,7.0,train,0.0010148548819568356,76.06061336745951,0.8135384732431514
8.0,8.0,train,8.511778758637378E-4,62.79404904248123,0.7555278037145181
9.0,9.0,train,7.696086030411573E-4,54.8544352995671,0.7201946021973855
10.0,10.0,train,6.21801335069306E-4,39.25344720001426,0.6426529466260956
11.0,11.0,train,4.012374083473158E-4,16.87958258064409,0.48522551751498677
12.0,12.0,train,8.404490336916859E-4,62.03315001453081,0.7511482733759791
13.0,13.0,train,7.370620417252669E-4,51.005171152843026,0.7047102240499543
15.0,15.0,train,5.612920104233054E-4,32.22115320538681,0.6050152597019485
16.0,16.0,train,0.0022546872695312953,99.28948265132232,0.9760404047595564
19.0,19.0,train,7.275538938500032E-4,49.81916427747397,0.7000269492170279
20.0,20.0,train,8.524514318514161E-4,63.123289699183736,0.7560425270217418
22.0,22.0,train,0.0012854085361438286,89.09528404646967,0.8808392820821604
23.0,23.0,train,0.0013415100445206315,91.46755019782361,0.8914046957270738
24.0,24.0,train,4.528953512304152E-4,20.62567699544708,0.5274054729337339
25.0,25.0,train,0.0010413195506739747,77.83283055700888,0.8215287862233893
27.0,27.0,train,0.001543232980490709,95.01709354563107,0.9222275280711496
28.0,28.0,train,0.0017431760583194941,96.84561492187122,0.9441375467993222
29.0,29.0,train,0.0019521578563778238,97.91653246621995,0.9604708324302105
30.0,30.0,train,0.0010248451569558016,76.77082177354215,0.8165959654693697
31.0,31.0,train,9.220010711193598E-4,68.0821286984633,0.7825665124311286
32.0,32.0,train,7.165682036846498E-4,48.54612913179325,0.6945233427310682
33.0,33.0,train,7.353206445440321E-4,50.809702973304766,0.703857995439537
34.0,34.0,train,4.395201898246445E-4,19.732934375806874,0.5168278741667272
35.0,35.0,train,6.162602895132385E-4,38.633174151287584,0.6393609557088253
36.0,36.0,train,0.0013035373624861013,90.00264161143475,0.8843612719099943
37.0,37.0,train,0.0013393234160649753,91.28759814558529,0.8910110042684602
38.0,38.0,train,0.0013888997416112037,93.10271167662958,0.8995961289258997
39.0,39.0,train,7.219457444807715E-4,49.08593004339652,0.6972298835245175
40.0,40.0,train,5.776966307159034E-4,34.21535545011265,0.6155943535373228
41.0,41.0,train,0.002920568913447494,99.99999935932013,0.9920404656138334
42.0,42.0,train,9.200761943281736E-4,67.97650542119419,0.7818727589100766
44.0,44.0,train,5.43325819715379E-4,29.525030149797747,0.5930948086620825
45.0,45.0,train,9.389772282607282E-4,69.74177796833236,0.7885902125330084
46.0,46.0,train,7.462915916487239E-4,52.144791318164586,0.7091863291052825
47.0,47.0,train,6.991783868612241E-4,47.05428108922911,0.6856042380185796
48.0,48.0,train,0.0010241765248917459,76.56720919070109,0.8163929073768366
49.0,49.0,train,5.469666148622159E-4,30.06877988848101,0.5955391714352678
50.0,50.0,train,0.0011121101943393917,82.00804263887021,0.84125921233277
51.0,51.0,train,0.0012863143663641244,89.14212842621815,0.8810177821326213
53.0,53.0,train,6.740420469124846E-4,44.15675094305946,0.6722497537256151
56.0,56.0,train,9.968737801711927E-4,74.6036895626439,0.8079064130733414
57.0,57.0,train,0.0011350188803522095,82.9951900541983,0.8471648392261211
58.0,58.0,train,0.0010212416821011516,76.45795764588215,0.8154989571882443
59.0,59.0,train,6.392894595716032E-4,41.15427071128073,0.6528470223508462
60.0,60.0,train,5.33923702154807E-4,28.576677565803294,0.5867138488192394
61.0,61.0,train,5.481659019372558E-4,30.22086934890167,0.596341131272365
62.0,62.0,train,4.1973264285280064E-4,18.303003849802952,0.500743352893136
65.0,65.0,train,1.2532310249405582E-4,5.442019555227626,0.1873079368184397
68.0,68.0,train,0.0010807370038063515,80.02647799657026,0.8327995232772071
70.0,70.0,train,4.1214217430046696E-4,17.483146442812473,0.49443222513033425
71.0,71.0,train,3.9110853678341105E-4,16.063387068140006,0.4765237584670786
1.0,1.0,test,9.231317507311603E-5,4.591163527070679,0.14167576049196362
14.0,14.0,test,5.750826853661131E-4,33.92151557086318,0.613927836040628
17.0,17.0,test,5.00209484143709E-4,24.59728062059891,0.5629990215676769
18.0,18.0,test,5.060970351801603E-4,25.206775548315253,0.5672362993110998
21.0,21.0,test,0.0013603319392068256,91.8526390991468,0.8947352145024073
26.0,26.0,test,6.431548688920424E-4,41.52491425481895,0.6550606875394076
43.0,43.0,test,5.679070442659828E-4,32.88225296128909,0.6093157823891571
52.0,52.0,test,7.289951022017957E-4,50.099772219297364,0.7007415691104488
54.0,54.0,test,5.990960876415063E-4,36.90174353032371,0.6289698175792107
55.0,55.0,test,4.835154957831554E-4,23.482525527688736,0.5507573842592748
63.0,63.0,test,6.510301240068257E-4,42.56801117540114,0.6595271552945654
64.0,64.0,test,8.059459624477566E-4,58.92840538309221,0.7365251349913113
66.0,66.0,test,4.606901132067282E-4,21.254007067162767,0.5334627478932525
67.0,67.0,test,9.384398456297056E-4,69.69607444956131,0.7884021138484866
69.0,69.0,test,4.273637729640846E-4,18.889952460080995,0.5070088731037359
