x,y,species median
215.0,215.0,0.6632091
216.0,216.0,0.68139845
217.0,217.0,0.7490872
218.0,218.0,0.0015906066
219.0,219.0,0.055570584
220.0,220.0,3.4138E-4
221.0,221.0,0.07490372
222.0,222.0,0.6519042
223.0,223.0,0.002539566
224.0,224.0,6.6404283E-4
225.0,225.0,0.48889923
226.0,226.0,0.0065257493
227.0,227.0,0.009212498
228.0,228.0,1.1143191E-4
229.0,229.0,4.760055E-4
230.0,230.0,0.0059028715
231.0,231.0,0.009051449
232.0,232.0,3.777701E-4
233.0,233.0,1.5825259E-7
234.0,234.0,5.8766113E-7
235.0,235.0,6.0455004E-6
236.0,236.0,0.02352222
237.0,237.0,0.0150378905
238.0,238.0,5.979407E-5
239.0,239.0,0.0052453694
240.0,240.0,0.0028717772
241.0,241.0,0.0013849641
242.0,242.0,2.2128136E-6
243.0,243.0,0.0060071894
244.0,244.0,2.5010839E-5
245.0,245.0,0.003719039
246.0,246.0,5.126168E-4
247.0,247.0,0.38038722
248.0,248.0,1.7188655E-4
249.0,249.0,7.7387743E-4
250.0,250.0,9.487828E-6
251.0,251.0,0.17124815
252.0,252.0,3.878087E-4
253.0,253.0,4.2041097E-4
254.0,254.0,4.992167E-5
255.0,255.0,0.0063064233
256.0,256.0,1.6353717E-4
257.0,257.0,0.009125365
258.0,258.0,0.32963395
259.0,259.0,0.28288794
260.0,260.0,0.0021746713
261.0,261.0,0.0027424272
262.0,262.0,2.5563678E-4
263.0,263.0,3.8786467E-5
264.0,264.0,0.8237173
265.0,265.0,0.009583417
266.0,266.0,0.0018230437
267.0,267.0,0.009561656
268.0,268.0,2.6031474E-5
269.0,269.0,3.0975654E-5
270.0,270.0,0.1845059
271.0,271.0,4.914662E-5
272.0,272.0,0.0030937563
273.0,273.0,0.82278514
274.0,274.0,0.026307859
275.0,275.0,3.2636992E-4
276.0,276.0,4.7658585E-5
277.0,277.0,0.7566012
278.0,278.0,0.56545806
279.0,279.0,0.78476346
280.0,280.0,6.663027E-4
281.0,281.0,1.594348E-5
282.0,282.0,2.4001036E-5
283.0,283.0,0.0040628063
284.0,284.0,3.8321267E-4
285.0,285.0,0.47089872
286.0,286.0,0.0052171024
287.0,287.0,5.538912E-4
288.0,288.0,9.9841025E-5
289.0,289.0,0.013183236
290.0,290.0,0.0062821307
291.0,291.0,0.5866099
292.0,292.0,0.015163828
293.0,293.0,0.006377349
294.0,294.0,5.7093775E-6
295.0,295.0,0.119272925
296.0,296.0,8.094638E-6
297.0,297.0,3.902164E-5
298.0,298.0,0.0030182404
299.0,299.0,8.201401E-5
300.0,300.0,1.1644853E-7
301.0,301.0,0.78905886
302.0,302.0,1.3904048E-4
303.0,303.0,5.1942054E-4
304.0,304.0,0.011527317
305.0,305.0,0.045415916
