x,y,species min
212.0,212.0,0.0010479111
213.0,213.0,1.7547525E-5
214.0,214.0,2.549886E-4
215.0,215.0,0.571919
216.0,216.0,0.62128633
217.0,217.0,0.5780075
218.0,218.0,4.4716074E-4
219.0,219.0,0.044780646
220.0,220.0,1.7921363E-4
221.0,221.0,0.07237953
222.0,222.0,0.502234
223.0,223.0,0.0020114202
224.0,224.0,2.517869E-4
225.0,225.0,0.44895503
226.0,226.0,0.00371201
227.0,227.0,0.007697354
228.0,228.0,3.6875907E-5
229.0,229.0,1.4549709E-4
230.0,230.0,0.003854402
231.0,231.0,0.0063653425
232.0,232.0,3.0019734E-4
233.0,233.0,3.894911E-8
234.0,234.0,4.662E-7
235.0,235.0,1.3947606E-6
236.0,236.0,0.013950982
237.0,237.0,0.004788219
238.0,238.0,9.827892E-6
239.0,239.0,0.0011567505
240.0,240.0,0.0012801945
241.0,241.0,4.7411933E-4
242.0,242.0,6.172327E-7
243.0,243.0,0.0028261738
244.0,244.0,1.08761915E-5
245.0,245.0,0.0015317838
246.0,246.0,4.4691225E-4
247.0,247.0,0.17786524
248.0,248.0,1.2290424E-4
249.0,249.0,2.8054297E-4
250.0,250.0,2.8136985E-6
251.0,251.0,0.12361304
252.0,252.0,1.3265E-4
253.0,253.0,3.6304424E-4
254.0,254.0,3.5522873E-5
255.0,255.0,0.0053542443
256.0,256.0,1.205934E-4
257.0,257.0,0.0040145437
258.0,258.0,0.26856717
259.0,259.0,0.246074
260.0,260.0,0.0014130274
261.0,261.0,0.0020199257
262.0,262.0,2.1426594E-4
263.0,263.0,9.528445E-6
264.0,264.0,0.6933604
265.0,265.0,0.0093004415
266.0,266.0,9.740566E-4
267.0,267.0,0.008585787
268.0,268.0,1.532568E-5
269.0,269.0,8.6125265E-6
270.0,270.0,0.15831035
271.0,271.0,1.5851894E-5
272.0,272.0,0.0016183133
273.0,273.0,0.7508125
274.0,274.0,0.016182428
275.0,275.0,1.8741426E-4
276.0,276.0,1.5131122E-5
277.0,277.0,0.56738305
278.0,278.0,0.46017876
279.0,279.0,0.76748693
280.0,280.0,1.980606E-4
281.0,281.0,9.063004E-6
282.0,282.0,1.9863523E-5
283.0,283.0,0.0022978005
284.0,284.0,1.371039E-4
285.0,285.0,0.44627553
286.0,286.0,0.0029487466
287.0,287.0,4.1994758E-4
288.0,288.0,4.7472993E-5
289.0,289.0,0.008569438
290.0,290.0,0.005701177
291.0,291.0,0.49221992
292.0,292.0,0.003973958
293.0,293.0,0.0040952084
294.0,294.0,2.1840397E-6
295.0,295.0,0.0544748
296.0,296.0,1.6467076E-6
297.0,297.0,9.794244E-6
298.0,298.0,0.0015021287
299.0,299.0,2.4959892E-5
300.0,300.0,4.3981938E-8
301.0,301.0,0.71011233
302.0,302.0,7.302441E-5
303.0,303.0,1.6966519E-4
304.0,304.0,0.0075434265
305.0,305.0,0.023245549
306.0,306.0,3.127076E-5
307.0,307.0,5.1194634E-6
308.0,308.0,0.0048711635
309.0,309.0,8.7463595E-5
310.0,310.0,3.4089946E-6
311.0,311.0,0.002235619
312.0,312.0,0.010903905
313.0,313.0,0.014728211
314.0,314.0,1.944509E-4
315.0,315.0,0.008908055
316.0,316.0,0.003760654
317.0,317.0,0.001400666
318.0,318.0,0.6063991
319.0,319.0,0.0077454653
320.0,320.0,2.774741E-6
