X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,6.259124790851609E-4,67.6875572184923,0.8437627311200355
2.0,2.0,train,0.002465470484534329,91.30409088248699,0.9993327077084833
3.0,3.0,train,0.001561911900634904,84.33437134397465,0.9902690008423694
4.0,4.0,train,0.001271201942649124,81.21376180576142,0.9769532081113264
6.0,6.0,train,0.0047295986735717156,99.4894498139115,0.99999919095256
7.0,7.0,train,0.0029390553476359937,94.32132935416381,0.9998362020461772
8.0,8.0,train,9.595781865536145E-4,76.62613655707061,0.9419233126131695
9.0,9.0,train,0.005105483494800448,100.0,0.9999997346553939
10.0,10.0,train,0.002873132816223322,93.73958875748777,0.9998008313797097
11.0,11.0,train,0.0021539423890165363,89.39916256677499,0.9983189360006122
13.0,13.0,train,0.0026635655956913223,92.35498360181556,0.9996291853214083
14.0,14.0,train,5.662330462179542E-4,65.40508858712482,0.8135099907515546
15.0,15.0,train,4.987276236314258E-5,4.003014868170765,0.1374968540232333
16.0,16.0,train,1.0498362348614861E-4,16.619778174388717,0.26755609569568284
17.0,17.0,train,4.721430708767557E-5,3.661632292005382,0.13066943671737363
18.0,18.0,train,4.882628810543096E-4,62.75713899010442,0.7649901111784383
19.0,19.0,train,6.009084116872618E-4,66.6948887513211,0.8317358953666466
21.0,21.0,train,6.17011171088911E-5,5.7172597498962165,0.16723011939235644
22.0,22.0,train,4.702244138668265E-4,62.04128091465579,0.7520747053203807
24.0,24.0,train,8.024689787676901E-4,72.7827195504437,0.9074516758609582
26.0,26.0,train,9.465005908874016E-5,13.105750206913903,0.24476055961288812
27.0,27.0,train,2.717796524109054E-4,50.70384054585762,0.5533879867621525
28.0,28.0,train,5.968951889632596E-4,66.45986394617513,0.8297211271258779
29.0,29.0,train,1.1600324449426177E-4,20.040889560608214,0.29110748408933296
30.0,30.0,train,2.874569933465106E-4,52.212008705919914,0.5736787490487313
31.0,31.0,train,2.1640394329182984E-4,43.88990292149234,0.47367031994202435
32.0,32.0,train,3.3759328447120155E-4,55.77312765680059,0.6325838623288487
33.0,33.0,train,0.0019167238276147744,87.55218174307319,0.9966026761491362
36.0,36.0,train,2.5790782491962093E-4,49.032793513975065,0.534630192940083
37.0,37.0,train,9.935150006201826E-5,14.785439909064209,0.2552184584549113
39.0,39.0,train,4.456729890546352E-4,60.99292800967677,0.7333481226108269
40.0,40.0,train,1.5682528023103776E-4,32.37032713354907,0.3719430949376008
41.0,41.0,train,3.425460739101891E-4,56.16691621037993,0.637941525284879
43.0,43.0,train,5.55575862637114E-4,65.01254950760116,0.807521287267543
44.0,44.0,train,2.1434023873628206E-4,43.36911978353029,0.4704389379485434
45.0,45.0,train,2.2173524448113632E-4,44.60327713918697,0.48192718566611703
46.0,46.0,train,1.9931766237471114E-4,40.704844134241675,0.44631075849872837
47.0,47.0,train,1.3860889123581594E-4,27.529793874662314,0.3370773305617474
5.0,5.0,test,0.00127422562972662,81.27537315429693,0.9771589650904992
12.0,12.0,test,4.2458284530783746E-4,60.25785966146179,0.7161361415632266
20.0,20.0,test,1.4394798870762116E-4,29.18364918855138,0.3474921046735393
23.0,23.0,test,3.0090644307341984E-4,53.142293872100254,0.5903497455755986
25.0,25.0,test,1.1821618342306753E-4,20.899278594263922,0.295744926646774
34.0,34.0,test,2.424504183203985E-4,47.22266986164322,0.5127988185401611
35.0,35.0,test,1.9154245107740086E-4,39.4166966572438,0.4333941486964795
38.0,38.0,test,6.194879821164088E-4,67.46927880795174,0.8407572011291462
42.0,42.0,test,2.5171647985398584E-4,48.29907612702004,0.5260057731821293
