x,y,species median
218.0,218.0,0.49702865
219.0,219.0,0.030118473
220.0,220.0,0.0012401886
221.0,221.0,0.3547272
222.0,222.0,7.2569587E-6
223.0,223.0,0.1504435
224.0,224.0,1.3709344E-5
225.0,225.0,0.4794838
226.0,226.0,0.43755555
227.0,227.0,0.23157957
228.0,228.0,0.04496057
229.0,229.0,0.079780884
230.0,230.0,0.62633973
231.0,231.0,0.009803686
232.0,232.0,0.02699785
233.0,233.0,0.07902805
234.0,234.0,1.0803883E-4
235.0,235.0,0.19412033
236.0,236.0,0.02185837
237.0,237.0,0.010352223
238.0,238.0,0.030954931
239.0,239.0,8.486082E-6
240.0,240.0,0.9621796
241.0,241.0,0.021019788
242.0,242.0,0.22346221
243.0,243.0,0.2835853
244.0,244.0,0.11913316
245.0,245.0,2.1718902E-6
246.0,246.0,3.6537772E-4
247.0,247.0,1.2388272E-4
248.0,248.0,0.6956464
249.0,249.0,0.294567
250.0,250.0,3.703603E-5
251.0,251.0,1.1735819E-5
252.0,252.0,0.012787285
253.0,253.0,0.12793948
254.0,254.0,0.2256338
255.0,255.0,0.06197065
256.0,256.0,0.12536578
257.0,257.0,0.07534874
258.0,258.0,0.9992191
259.0,259.0,4.9447713E-6
260.0,260.0,0.0021006754
261.0,261.0,0.041588414
262.0,262.0,0.005325885
263.0,263.0,0.2642403
264.0,264.0,0.82972574
265.0,265.0,0.32544675
266.0,266.0,0.36277068
267.0,267.0,0.26291752
268.0,268.0,0.007231688
269.0,269.0,0.43951848
270.0,270.0,0.012791063
271.0,271.0,0.16466954
272.0,272.0,0.045851618
273.0,273.0,1.1400822E-6
274.0,274.0,0.16083558
275.0,275.0,9.8844364E-5
276.0,276.0,0.28024232
277.0,277.0,0.18134084
278.0,278.0,0.21384002
279.0,279.0,0.38954997
280.0,280.0,0.7490542
281.0,281.0,0.45229572
282.0,282.0,0.16920082
283.0,283.0,0.002390854
284.0,284.0,0.09415307
285.0,285.0,9.512315E-6
286.0,286.0,0.0030671365
287.0,287.0,8.096994E-6
288.0,288.0,0.11180409
289.0,289.0,4.907287E-5
290.0,290.0,0.0047869105
291.0,291.0,0.16084379
292.0,292.0,0.3291743
293.0,293.0,0.15001743
294.0,294.0,0.40137812
295.0,295.0,0.034673695
296.0,296.0,0.072003365
297.0,297.0,1.9080503E-4
298.0,298.0,0.10935976
299.0,299.0,0.27192825
300.0,300.0,0.055079006
301.0,301.0,8.652919E-4
302.0,302.0,0.010186606
303.0,303.0,0.007926508
304.0,304.0,0.16374175
305.0,305.0,0.058922756
306.0,306.0,9.02385E-5
307.0,307.0,0.3331418
308.0,308.0,0.028949741
309.0,309.0,0.0013602808
310.0,310.0,3.0658663E-5
311.0,311.0,0.17535359
312.0,312.0,0.23972848
313.0,313.0,0.50149924
314.0,314.0,1.5368734E-6
315.0,315.0,0.20321909
316.0,316.0,0.27734876
317.0,317.0,0.11860784
318.0,318.0,0.077104405
319.0,319.0,0.62687916
320.0,320.0,1.3065143E-4
321.0,321.0,0.003411893
322.0,322.0,5.2241253E-4
323.0,323.0,0.0027658916
324.0,324.0,0.0034976064
325.0,325.0,0.27748278
326.0,326.0,0.16047822
327.0,327.0,0.47918743
328.0,328.0,0.24425797
329.0,329.0,2.3162983E-4
330.0,330.0,0.026138078
331.0,331.0,0.42054772
332.0,332.0,0.0071556834
333.0,333.0,0.26117373
